Pennycress_Protein,PennycressGeneID,Domain1,Domain2,GO Terms,ArabidopsisGeneID,Arabidopsis_Protein_Name,Entrez_geneID
CAH2065384.1,TAV2_LOCUS16105,-,P-loop containing nucleoside triphosphate hydrolase,-,AT3G45090,"P-loop	containing	nucleoside	triphosphate	hydrolases	superfamily	protein	","823644	"
CAH2072112.1,TAV2_LOCUS22061,P-LOOP NTPASE DOMAIN-CONTAINING PROTEIN LPA1 HOMOLOG 1,-,0,AT5G60760,"P-loop	containing	nucleoside	triphosphate	hydrolases	superfamily	protein	","836197	"
CAH2065397.1,TAV2_LOCUS15744,SAM dependent carboxyl methyltransferase,SAM dependent carboxyl methyltransferase,GO:0008168,AT3G44840,"S-adenosyl-L-methionine-dependent	methyltransferases	superfamily	protein	","823618	"
CAH2072125.1,TAV2_LOCUS21588,Sodium/hydrogen exchanger family,Cation/H+ exchanger,GO:0006812|GO:0015299|GO:0016021|GO:0055085,AT5G22900,"cation/H+	exchanger	3	","832354	"
CAH2065401.1,TAV2_LOCUS16937,Sodium/hydrogen exchanger family,Cation/H+ exchanger,GO:0006812|GO:0015299|GO:0016021|GO:0055085,AT3G44900,"cation/H+	exchanger	4	","823624	"
CAH2065429.1,TAV2_LOCUS17631,MALE STERILITY PROTEIN 2-RELATED,Fatty acyl-CoA reductase,GO:0080019,AT3G44550,"fatty	acid	reductase	5	","823580	"
CAH2065458.1,TAV2_LOCUS17293,NAC domain,NAC domain superfamily,GO:0003677|GO:0006355,AT3G44290,"NAC	domain	containing	protein	60	","823554	"
CAH2072184.1,TAV2_LOCUS22168,NAC domain,NAC domain superfamily,GO:0003677|GO:0006355,AT5G22290,"NAC	domain	containing	protein	89	","832289	"
CAH2077179.1,TAV2_LOCUS22774,Sec23/Sec24 trunk domain,"Sec23/Sec24, trunk domain",GO:0006886|GO:0006888|GO:0030127,AT4G32640,"Sec23/Sec24	protein	transport	family	protein	","829399	"
CAH2065465.1,TAV2_LOCUS16010,Sec23/Sec24 helical domain,"Sec23/Sec24, helical domain",GO:0006886|GO:0006888|GO:0030127,AT3G44340,"uncharacterized	protein	","823559	"
CAH2065493.1,TAV2_LOCUS15657,Major Facilitator Superfamily,Major facilitator superfamily,GO:0022857|GO:0055085,AT3G43790,"zinc	induced	facilitator-like	2	","823490	"
CAH2080668.1,TAV2_LOCUS26365,Major Facilitator Superfamily,Major facilitator superfamily,GO:0022857|GO:0055085,AT3G43790,"zinc	induced	facilitator-like	2	","823490	"
CAH2065494.1,TAV2_LOCUS15658,Major Facilitator Superfamily,Major facilitator superfamily,GO:0022857|GO:0055085,AT3G43790,"zinc	induced	facilitator-like	2	","823490	"
CAH2065500.1,TAV2_LOCUS16604,40S RIBOSOMAL PROTEIN S29,40S ribosomal protein S29/30S ribosomal protein S14 type Z,GO:0003735|GO:0008270,AT3G43980,"Ribosomal	protein	S14p/S29e	family	protein	","823515	"
CAH2070871.1,TAV2_LOCUS20373,annex3,Annexin repeat,GO:0005509|GO:0005544,AT5G12380,"annexin	8	","831113	"
CAH2065504.1,TAV2_LOCUS17735,Annexin,Annexin superfamily,GO:0005509|GO:0005544,AT5G12380,"annexin	8	","831113	"
CAH2072907.1,TAV2_LOCUS19337,Annexin family signature,Annexin,GO:0005509|GO:0005544,AT5G12380,"annexin	8	","831113	"
CAH2072207.1,TAV2_LOCUS21660,HSP40/DnaJ peptide-binding domain,HSP40/DnaJ peptide-binding,GO:0006457|GO:0051082,AT5G22060,"DNAJ	homologue	2	","832267	"
CAH2065509.1,TAV2_LOCUS17738,HSP40/DnaJ peptide-binding domain,HSP40/DnaJ peptide-binding,GO:0006457|GO:0051082,AT5G22060,"DNAJ	homologue	2	","832267	"
CAH2072262.1,TAV2_LOCUS19328,Leucine Rich Repeat,Leucine-rich repeat,GO:0005515,AT5G20690,"Leucine-rich	repeat	protein	kinase	family	protein	","832192	"
CAH2065514.1,TAV2_LOCUS16922,Leucine rich repeat,Leucine-rich repeat,GO:0005515,AT3G42880,"Leucine-rich	repeat	protein	kinase	family	protein	","823335	"
CAH2069532.1,TAV2_LOCUS18450,EXOCYST COMPLEX PROTEIN EXO70,Exocyst complex component Exo70,GO:0000145|GO:0006887,AT5G58430,"exocyst	subunit	exo70	family	protein	B1	","835956	"
CAH2065519.1,TAV2_LOCUS17862,EXOCYST COMPLEX PROTEIN EXO70,Exocyst complex component Exo70,GO:0000145|GO:0006887,AT5G13990,"exocyst	subunit	exo70	family	protein	C2	","831247	"
CAH2065524.1,TAV2_LOCUS16699,Zinc knuckle,"Zinc finger, CCHC-type",GO:0003676|GO:0008270,AT3G43590,"zinc	knuckle	(CCHC-type)	family	protein	","823456	"
CAH2065529.1,TAV2_LOCUS16702,Glycosyl transferases group 1,"Glycosyl transferase, family 1",GO:0016757,AT3G43190,"sucrose	synthase	4	","823393	"
CAH2072256.1,TAV2_LOCUS22012,Glycosyl transferases group 1,"Glycosyl transferase, family 1",GO:0016757,AT5G20830,SUCROSE SYNTHASE 1 (SUS1),"823393	"
CAH2065549.1,TAV2_LOCUS15888,SYNAPTONEMAL COMPLEX PROTEIN-RELATED,-,0,AT1G65010,"WEB	family	protein	(DUF827)	","842809	"
CAH2077764.1,TAV2_LOCUS23642,consensus disorder prediction,-,0,AT4G27595,"WEB	family	protein	(DUF827)	","828870	"
CAH2079542.1,TAV2_LOCUS25536,542_3,W2 domain,GO:0005515,AT5G36230,"ARM	repeat	superfamily	protein	","833620	"
CAH2065568.1,TAV2_LOCUS15379,eIF4-gamma/eIF5/eIF2-epsilon,W2 domain,GO:0005515,AT1G65220,"ARM	repeat	superfamily	protein	","842829	"
CAH2079544.1,TAV2_LOCUS25977,ASPARTYL PROTEASES,Aspartic peptidase A1 family,GO:0004190|GO:0006508,AT5G36260,"Eukaryotic	aspartyl	protease	family	protein	","833623	"
CAH2065569.1,TAV2_LOCUS15380,Pepsin (A1) aspartic protease family signature,Aspartic peptidase A1 family,GO:0004190|GO:0006508,AT1G65240,"Eukaryotic	aspartyl	protease	family	protein	","842831	"
CAH2078442.1,TAV2_LOCUS24447,PEBP_euk,"Phosphatidylethanolamine-binding protein, eukaryotic",-,AT4G20370,"PEBP	(phosphatidylethanolamine-binding	protein)	family	protein	","827785	"
CAH2065588.1,TAV2_LOCUS16830,PEBP_euk,"Phosphatidylethanolamine-binding protein, eukaryotic",-,AT4G20370,"PEBP	(phosphatidylethanolamine-binding	protein)	family	protein	","827785	"
CAH2067653.1,TAV2_LOCUS15917,Phosphatidylethanolamine-binding protein,Phosphatidylethanolamine-binding protein,-,AT4G20370,"PEBP	(phosphatidylethanolamine-binding	protein)	family	protein	","827785	"
CAH2065673.1,TAV2_LOCUS15697,sant,SANT/Myb domain,-,AT1G66230,"myb	domain	protein	20	","842938	"
CAH2065689.1,TAV2_LOCUS16543,Protein kinase domain,Protein kinase domain,GO:0004672|GO:0005524|GO:0006468,AT1G66460,"Protein	kinase	superfamily	protein	","842964	"
CAH2079664.1,TAV2_LOCUS24018,serkin_6,Protein kinase domain,GO:0004672|GO:0005524|GO:0006468,AT5G37790,"Protein	kinase	superfamily	protein	","833757	"
CAH2065699.1,TAV2_LOCUS16343,PRE-MRNA CLEAVAGE COMPLEX II,Protein PCF11-like,GO:0000993|GO:0003729|GO:0006369|GO:0006378|GO:0006379,AT5G43620,"Pre-mRNA	cleavage	complex	II	","834382	"
CAH2070176.1,TAV2_LOCUS21164,PRE-MRNA CLEAVAGE COMPLEX II,Protein PCF11-like,GO:0000993|GO:0003729|GO:0006369|GO:0006378|GO:0006379,AT5G43620,"Pre-mRNA	cleavage	complex	II	","834382	"
CAH2065738.1,TAV2_LOCUS18126,MATE_eukaryotic,"Multidrug and toxic compound extrusion family, eukaryotic",GO:0042910|GO:1990961,AT1G66780,"MATE	efflux	family	protein	","842996	"
CAH2065736.1,TAV2_LOCUS18130,MATE_eukaryotic,"Multidrug and toxic compound extrusion family, eukaryotic",GO:0042910|GO:1990961,AT1G64820,"MATE	efflux	family	protein	","842790	"
CAH2079712.1,TAV2_LOCUS22605,Wall-associated receptor kinase galacturonan-binding,"Wall-associated receptor kinase, galacturonan-binding domain",GO:0030247,AT5G38210,"Protein	kinase	family	protein	","833803	"
CAH2065753.1,TAV2_LOCUS17352,Wall-associated receptor kinase galacturonan-binding,"Wall-associated receptor kinase, galacturonan-binding domain",GO:0030247,AT1G66880,"Protein	kinase	superfamily	protein	","843006	"
CAH2065812.1,TAV2_LOCUS15968,TFS2_5,"Transcription elongation factor, TFIIS/CRSP70, N-terminal, sub-type",GO:0005634,AT4G18720,"Transcription	factor	IIS	protein	","827606	"
CAH2065859.1,TAV2_LOCUS16769,OS11G0490100 PROTEIN,IRX15/IRX15L/IGXM,GO:0045492,AT1G67330,"glucuronoxylan	4-O-methyltransferase-like	protein	(DUF579)	","843054	"
CAH2065857.1,TAV2_LOCUS16770,OS11G0490100 PROTEIN,IRX15/IRX15L/IGXM,GO:0045492,AT1G67330,"glucuronoxylan	4-O-methyltransferase-like	protein	(DUF579)	","843054	"
CAH2065861.1,TAV2_LOCUS16768,A_thal_3515: uncharacterized plant-specific domain TIGR01627,IRX15/IRX15L/IGXM,GO:0045492,AT1G67330,"glucuronoxylan	4-O-methyltransferase-like	protein	(DUF579)	","843054	"
CAH2072351.1,TAV2_LOCUS19272,Glyoxal oxidase N-terminus,"Glyoxal oxidase, N-terminal",-,AT5G19580,"glyoxal	oxidase-related	protein	","832078	"
CAH2065874.1,TAV2_LOCUS16448,E_set_GO_C,"Galactose oxidase-like, Early set domain",-,AT1G67290,"glyoxal	oxidase-related	protein	","843049	"
CAH2071743.1,TAV2_LOCUS20976,WD40 PROTEIN CIAO1,"Probable cytosolic iron-sulfur protein assembly protein, CIAO1/Cia1",GO:0016226|GO:0097361,AT2G26060,"Transducin/WD40	repeat-like	superfamily	protein	","817147	"
CAH2065925.1,TAV2_LOCUS15662,WD40 PROTEIN CIAO1,"Probable cytosolic iron-sulfur protein assembly protein, CIAO1/Cia1",GO:0016226|GO:0097361,AT2G26060,"Transducin/WD40	repeat-like	superfamily	protein	","817147	"
CAH2077087.1,TAV2_LOCUS24056,Vaccinia Virus protein VP39,S-adenosyl-L-methionine-dependent methyltransferase superfamily,-,AT4G33120,"S-adenosyl-L-methionine-dependent	methyltransferases	superfamily	protein	","829449	"
CAH2066026.1,TAV2_LOCUS15838,S-adenosyl-L-methionine-dependent methyltransferases,S-adenosyl-L-methionine-dependent methyltransferase superfamily,-,AT4G33120,"S-adenosyl-L-methionine-dependent	methyltransferases	superfamily	protein	","829449	"
CAH2066041.1,TAV2_LOCUS17839,BLUE COPPER PROTEIN,Phytocyanin,GO:0009055,AT1G17800,"early	nodulin-like	protein	22	","838358	"
CAH2066043.1,TAV2_LOCUS17840,BLUE COPPER PROTEIN,Phytocyanin,GO:0009055,AT1G17800,"early	nodulin-like	protein	22	","838358	"
CAH2066045.1,TAV2_LOCUS17837,BLUE COPPER PROTEIN,Phytocyanin,GO:0009055,AT1G17800,"early	nodulin-like	protein	22	","838358	"
CAH2066062.1,TAV2_LOCUS18189,O-methyltransferase,Class I-like SAM-dependent O-methyltransferase,GO:0008171,AT1G24735,"S-adenosyl-L-methionine-dependent	methyltransferases	superfamily	protein	","839082	"
CAH2066066.1,TAV2_LOCUS18187,GT20_TPS,"Glycosyl transferase, family 20",GO:0003824|GO:0005992,AT1G68020,"UDP-Glycosyltransferase	/	trehalose-phosphatase	family	protein	","843130	"
CAH2078736.1,TAV2_LOCUS23341,Glycosyltransferase family 20,"Glycosyl transferase, family 20",GO:0003824|GO:0005992,AT4G17770,"trehalose	phosphatase/synthase	5	","827498	"
CAH2066127.1,TAV2_LOCUS15183,UNCHARACTERIZED,MIP18 family,GO:0106035,AT3G09380,"MIP18	family	protein	","820096	"
CAH2066444.1,TAV2_LOCUS16644,#N/A,#N/A,#N/A,AT1G69828,"Defensin-like	(DEFL)	family	protein	","3767681	"
CAH2066438.1,TAV2_LOCUS18272,#N/A,#N/A,#N/A,AT1G69818,"Defensin-like	(DEFL)	family	protein	","3767679	"
CAH2066570.1,TAV2_LOCUS17611,Protein tyrosine and serine/threonine kinase,"Serine-threonine/tyrosine-protein kinase, catalytic domain",GO:0004672|GO:0006468,AT1G70450,"Protein	kinase	superfamily	protein	","843381	"
CAH2066576.1,TAV2_LOCUS17610,FYVE zinc finger,FYVE zinc finger,GO:0046872,AT5G42140,"Regulator	of	chromosome	condensation	(RCC1)	family	with	FYVE	zinc	finger	domain-containing	protein	","834219	"
CAH2067659.1,TAV2_LOCUS16694,fyve_4,FYVE zinc finger,GO:0046872,AT1G76950,"Regulator	of	chromosome	condensation	(RCC1)	family	with	FYVE	zinc	finger	domain-containing	protein	","844030	"
CAH2066712.1,TAV2_LOCUS16037,CYCLIN D1-BINDING PROTEIN 1,Cyclin-D1-binding protein 1,GO:0051726,AT1G71150,"cyclin-D1-binding	protein	","843455	"
CAH2066737.1,TAV2_LOCUS17090,SUPPRESSOR OF ACTIN MUTATIONS 2/VACUOLAR PROTEIN SORTING 52,Vps52,-,AT1G71270,"Vps52	/	Sac2	family	","843468	"
CAH2066732.1,TAV2_LOCUS17098,SUPPRESSOR OF ACTIN MUTATIONS 2/VACUOLAR PROTEIN SORTING 52,Vps52,-,AT1G71270,"Vps52	/	Sac2	family	","843468	"
CAH2076132.1,TAV2_LOCUS23162,SHMT,Serine hydroxymethyltransferase,GO:0004372|GO:0019264|GO:0030170|GO:0035999,AT4G37930,"serine	transhydroxymethyltransferase	1	","829949	"
CAH2066748.1,TAV2_LOCUS17095,SERINE HYDROXYMETHYLTRANSFERASE,Serine hydroxymethyltransferase,GO:0004372|GO:0019264|GO:0030170|GO:0035999,AT5G26780,"serine	hydroxymethyltransferase	2	","832736	"
CAH2066800.1,TAV2_LOCUS16222,"PABP-1234: polyadenylate binding protein, human types 1, 2, 3, 4 family","Polyadenylate binding protein, human types 1, 2, 3, 4",GO:0003723,AT1G71770,"poly(A)-binding	protein	5	","843507	"
CAH2066811.1,TAV2_LOCUS15552,Cytochrome P450,Cytochrome P450 superfamily,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT2G46960,"cytochrome	""P450,""	family	""709,""	subfamily	""B,""	polypeptide	1	","819310	"
CAH2066876.1,TAV2_LOCUS15913,PATELLIN-1,Patellin,GO:0008289,AT1G72160,"Sec14p-like	phosphatidylinositol	transfer	family	protein	","843547	"
CAH2070668.1,TAV2_LOCUS20832,PATELLIN-1,Patellin,GO:0008289,AT4G09160,"SEC14	cytosolic	factor	family	protein	/	phosphoglyceride	transfer	family	protein	","826497	"
CAH2066909.1,TAV2_LOCUS15618,"Aspartate Aminotransferase, domain 1","Pyridoxal phosphate-dependent transferase, small domain",GO:0003824,ATMG00080,#N/A,#N/A
CAH2066946.1,TAV2_LOCUS17616,EXPORTIN-T/LOS1,Exportin-T,GO:0000049|GO:0006409|GO:0031267|GO:0071528,AT1G72560,"ARM	repeat	superfamily	protein	","843588	"
CAH2068652.1,TAV2_LOCUS18330,-,Armadillo-like helical,-,AT1G72560,"ARM	repeat	superfamily	protein	","843588	"
CAH2068650.1,TAV2_LOCUS18331,EXPORTIN-T/LOS1,Exportin-T,GO:0000049|GO:0006409|GO:0031267|GO:0071528,AT1G72560,"ARM	repeat	superfamily	protein	","843588	"
CAH2066979.1,TAV2_LOCUS15352,Mitochondrial carrier protein signature,Mitochondrial carrier protein,GO:0055085,AT5G15640,"Mitochondrial	substrate	carrier	family	protein	","831418	"
CAH2067009.1,TAV2_LOCUS17713,ATPase family associated with various cellular activities (AAA),"ATPase, AAA-type, core",GO:0005524|GO:0016887,AT1G73110,"P-loop	containing	nucleoside	triphosphate	hydrolases	superfamily	protein	","843642	"
CAH2071203.1,TAV2_LOCUS20755,-,P-loop containing nucleoside triphosphate hydrolase,-,AT1G73110,"P-loop	containing	nucleoside	triphosphate	hydrolases	superfamily	protein	","843642	"
CAH2080149.1,TAV2_LOCUS24793,-,Ribulose bisphosphate carboxylase/oxygenase activase-like,-,AT1G73110,"P-loop	containing	nucleoside	triphosphate	hydrolases	superfamily	protein	","843642	"
CAH2067187.1,TAV2_LOCUS16326,"Ribosomal protein L6, N-terminal domain","Ribosomal protein L6, N-terminal",GO:0003735|GO:0005840|GO:0006412,AT1G74060,"Ribosomal	protein	L6	family	protein	","843746	"
CAH2067213.1,TAV2_LOCUS15947,alpha/beta hydrolase,Alpha/Beta hydrolase fold,-,AT1G74280,"alpha/beta-Hydrolases	superfamily	protein	","843768	"
CAH2067223.1,TAV2_LOCUS17128,Type II intron maturase,Domain X,GO:0006397,AT1G74350,"Intron	""maturase,""	type	II	family	protein	","843776	"
CAH2067264.1,TAV2_LOCUS16061,Gibberellin regulated protein,Gibberellin regulated protein,-,AT1G74670,"Gibberellin-regulated	family	protein	","843806	"
CAH2067362.1,TAV2_LOCUS16642,-,CRAL-TRIO lipid binding domain superfamily,-,AT1G75170,"Sec14p-like	phosphatidylinositol	transfer	family	protein	","843854	"
CAH2067495.1,TAV2_LOCUS16119,GDSL-like Lipase/Acylhydrolase,GDSL lipase/esterase,GO:0016788,AT1G75910,"extracellular	lipase	4	","843924	"
CAH2067541.1,TAV2_LOCUS17224,DEHYDRIN XERO 2-RELATED,Dehydrin,GO:0009415,AT1G76180,"Dehydrin	family	protein	","843950	"
CAH2067597.1,TAV2_LOCUS16817,-,Protein PIN-LIKES 1/3/4/5/7,GO:0080162,AT1G20925,"Auxin	efflux	carrier	family	protein	","838686	"
CAH2068818.1,TAV2_LOCUS18394,-,Isopenicillin N synthase-like superfamily,-,AT1G78440,"gibberellin	2-beta-dioxygenase	","844180	"
CAH2068816.1,TAV2_LOCUS18393,non-haem dioxygenase in morphine synthesis N-terminal,Non-haem dioxygenase N-terminal domain,-,AT1G78440,"gibberellin	2-beta-dioxygenase	","844180	"
CAH2067816.1,TAV2_LOCUS16849,non-haem dioxygenase in morphine synthesis N-terminal,Non-haem dioxygenase N-terminal domain,-,AT1G78440,"gibberellin	2-beta-dioxygenase	","844180	"
CAH2067833.1,TAV2_LOCUS17389,Peptidase C26,Peptidase C26,GO:0016787,AT1G78670,"gamma-glutamyl	hydrolase	3	","844203	"
CAH2068644.1,TAV2_LOCUS18328,Pectinesterase,"Pectinesterase, catalytic",GO:0030599|GO:0042545,AT5G64640,"Plant	invertase/pectin	methylesterase	inhibitor	superfamily	","836585	"
CAH2073369.1,TAV2_LOCUS19952,Pectinesterase,"Pectinesterase, catalytic",GO:0030599|GO:0042545,AT5G09760,"Plant	invertase/pectin	methylesterase	inhibitor	superfamily	","830836	"
CAH2070142.1,TAV2_LOCUS19227,consensus disorder prediction,-,0,AT5G53220,"uncharacterized	protein	","835403	"
CAH2070141.1,TAV2_LOCUS19226,consensus disorder prediction,-,0,AT5G53220,"uncharacterized	protein	","835403	"
CAH2068867.1,TAV2_LOCUS18409,consensus disorder prediction,-,0,AT5G53220,"uncharacterized	protein	","835403	"
CAH2070385.1,TAV2_LOCUS18682,F-box domain,F-box-like domain superfamily,GO:0005515,AT5G51380,"RNI-like	superfamily	protein	","835212	"
CAH2069061.1,TAV2_LOCUS18861,F-box domain,F-box domain,GO:0005515,AT5G51370,"RNI-like	superfamily	protein	","835211	"
CAH2069296.1,TAV2_LOCUS19485,Region in Clathrin and VPS,"Clathrin, heavy chain/VPS, 7-fold repeat",GO:0006886|GO:0016192,AT4G00800,"transducin	family	protein	/	WD-40	repeat	family	protein	","828005	"
CAH2069183.1,TAV2_LOCUS19681,-,"Ribosomal protein P1/P2, N-terminal domain",-,AT4G00800,"transducin	family	protein	/	WD-40	repeat	family	protein	","828005	"
CAH2069175.1,TAV2_LOCUS19685,VACUOLAR PROTEIN SORTING VPS41,Vacuolar protein sorting-associated protein Vps41/Vps8,GO:0006623,AT4G00800,"transducin	family	protein	/	WD-40	repeat	family	protein	","828005	"
CAH2069302.1,TAV2_LOCUS21995,Tetratricopeptide repeat domain,Tetratricopeptide-like helical domain superfamily,GO:0005515,AT4G01400,"oligomeric	golgi	complex	subunit-like	protein	","28719435	"
CAH2069307.1,TAV2_LOCUS21994,WAT1-RELATED PROTEIN,WAT1-related protein,GO:0016021|GO:0022857,AT4G01450,"nodulin	MtN21	/EamA-like	transporter	family	protein	","828176	"
CAH2069306.1,TAV2_LOCUS21991,WAT1-RELATED PROTEIN,WAT1-related protein,GO:0016021|GO:0022857,AT4G01440,"nodulin	MtN21	/EamA-like	transporter	family	protein	","826697	"
CAH2070086.1,TAV2_LOCUS21394,#N/A,#N/A,#N/A,AT5G60620,"glycerol-3-phosphate	acyltransferase	9	","836183	"
CAH2069316.1,TAV2_LOCUS20563,plsc_2,Phospholipid/glycerol acyltransferase,GO:0016746,AT5G60620,"glycerol-3-phosphate	acyltransferase	9	","836183	"
CAH2076691.1,TAV2_LOCUS22938,Acyltransferase,Phospholipid/glycerol acyltransferase,GO:0016746,AT5G60620,"glycerol-3-phosphate	acyltransferase	9	","836183	"
CAH2069328.1,TAV2_LOCUS19087,Root cap,Root cap,-,AT5G60530,"late	embryogenesis	abundant	protein-related	/	LEA	protein-like	protein	","836174	"
CAH2069329.1,TAV2_LOCUS19096,Root cap,Root cap,-,AT5G60520,"Late	embryogenesis	abundant	(LEA)	protein-like	protein	","836173	"
CAH2069330.1,TAV2_LOCUS19095,Cis_IPPS,Decaprenyl diphosphate synthase-like,GO:0016765,AT5G60510,"Undecaprenyl	pyrophosphate	synthetase	family	protein	","836172	"
CAH2069331.1,TAV2_LOCUS21651,FAS1 domain,FAS1 domain superfamily,-,AT5G60490,"FASCICLIN-like	arabinogalactan-protein	12	","836170	"
CAH2069332.1,TAV2_LOCUS22334,FAS1 domain,FAS1 domain superfamily,-,AT5G60490,"FASCICLIN-like	arabinogalactan-protein	12	","836170	"
CAH2069349.1,TAV2_LOCUS21279,lectin_legume_LecRK_Arcelin_ConA,Legume lectin domain,GO:0030246,AT5G60300,"Concanavalin	A-like	lectin	protein	kinase	family	protein	","836152	"
CAH2069348.1,TAV2_LOCUS21280,lectin_legume_LecRK_Arcelin_ConA,Legume lectin domain,GO:0030246,AT5G60310,"Concanavalin	A-like	lectin	protein	kinase	family	protein	","836153	"
CAH2069361.1,TAV2_LOCUS20550,CCR4-NOT TRANSCRIPTION COMPLEX RELATED,CCR4-NOT transcription complex subunit 4,GO:0004842|GO:0030014,AT5G60170,"RNA	binding	(RRM/RBD/RNP	motifs)	family	protein	","836139	"
CAH2069360.1,TAV2_LOCUS20549,CCR4-NOT TRANSCRIPTION COMPLEX RELATED,CCR4-NOT transcription complex subunit 4,GO:0004842|GO:0030014,AT5G60170,"RNA	binding	(RRM/RBD/RNP	motifs)	family	protein	","836139	"
CAH2069429.1,TAV2_LOCUS21127,RIBONUCLEASE P SUBUNIT P38,Factor of DNA methylation 1-5/IDN2,GO:0080188,AT5G59390,"XH/XS	domain-containing	protein	","836058	"
CAH2079575.1,TAV2_LOCUS24204,RIBONUCLEASE P SUBUNIT P38,Factor of DNA methylation 1-5/IDN2,GO:0080188,AT5G59390,"XH/XS	domain-containing	protein	","836058	"
CAH2069486.1,TAV2_LOCUS22096,Homeodomain-like,Homeobox-like domain superfamily,-,AT5G58850,"myb	domain	protein	119	","836002	"
CAH2073132.1,TAV2_LOCUS21488,SANT,SANT/Myb domain,-,AT5G11050,"myb	domain	protein	64	","830972	"
CAH2069503.1,TAV2_LOCUS21040,Phospholipase C signature,Phosphoinositide phospholipase C family,GO:0035556,AT3G47290,"phosphatidylinositol-speciwc	phospholipase	C8	","823882	"
CAH2069522.1,TAV2_LOCUS19897,Tyrosine kinase catalytic domain signature,"Serine-threonine/tyrosine-protein kinase, catalytic domain",GO:0004672|GO:0006468,AT5G58520,"Protein	kinase	superfamily	protein	","835965	"
CAH2073751.1,TAV2_LOCUS19108,laccase: laccase,Laccase,GO:0046274|GO:0048046|GO:0052716,AT5G07140,"Protein	kinase	superfamily	protein	","830605	"
CAH2069557.1,TAV2_LOCUS19590,Formin Homology 2 Domain,"Formin, FH2 domain",-,AT5G58160,"actin	binding	protein	","835928	"
CAH2069558.1,TAV2_LOCUS19591,Formin Homology 2 Domain,"Formin, FH2 domain",-,AT5G58160,"actin	binding	protein	","835928	"
CAH2069559.1,TAV2_LOCUS19592,it6_source,"Formin, FH2 domain",-,AT5G58160,"actin	binding	protein	","835928	"
CAH2077944.1,TAV2_LOCUS25827,Venom allergen 5 signature,Venom allergen 5-like,-,AT4G25790,"CAP	(Cysteine-rich	secretory	""proteins,""	Antigen	""5,""	and	Pathogenesis-related	1	protein)	superfamily	protein	","828684	"
CAH2069614.1,TAV2_LOCUS20955,Allergen V5/Tpx-1 family signature,Cysteine-rich  secretory protein-related,-,AT5G57625,"CAP	(Cysteine-rich	secretory	""proteins,""	Antigen	""5,""	and	Pathogenesis-related	1	protein)	superfamily	protein	","835867	"
CAH2069618.1,TAV2_LOCUS22319,OS02G0177800 PROTEIN,CALMODULIN-BINDING PROTEIN60,GO:0005516,AT5G57580,"Calmodulin-binding	protein	","835862	"
CAH2077943.1,TAV2_LOCUS24264,OS02G0177800 PROTEIN,CALMODULIN-BINDING PROTEIN60,GO:0005516,AT4G25800,"Calmodulin-binding	protein	","828685	"
CAH2069624.1,TAV2_LOCUS22313,GH16_XET,Xyloglucan endotransglucosylase/hydrolase,GO:0010411|GO:0016762|GO:0042546,AT4G25820,"xyloglucan	endotransglucosylase/hydrolase	14	","828687	"
CAH2069625.1,TAV2_LOCUS22312,ZINC FINGER PROTEIN JAGGED,Zinc finger protein JAGGED/KNUCKLES-like,GO:0003700,AT5G01860,"C2H2	and	C2HC	zinc	fingers	superfamily	protein	","831739	"
CAH2077940.1,TAV2_LOCUS25828,ATPase family associated with various cellular activities (AAA),"ATPase, AAA-type, core",GO:0005524|GO:0016887,AT4G25835,"P-loop	containing	nucleoside	triphosphate	hydrolases	superfamily	protein	","828689	"
CAH2069629.1,TAV2_LOCUS19790,ATPase family associated with various cellular activities (AAA),"ATPase, AAA-type, core",GO:0005524|GO:0016887,AT5G57480,"P-loop	containing	nucleoside	triphosphate	hydrolases	superfamily	protein	","835852	"
CAH2077503.1,TAV2_LOCUS25203,Gelsolin family signature,Villin/Gelsolin,GO:0051015,AT4G30160,"villin	4	","829139	"
CAH2069645.1,TAV2_LOCUS21227,VILL_6,Villin/Gelsolin,GO:0051015,AT5G57320,"actin	filament	bundling	protein	P-115-ABP	protein	","835837	"
CAH2069650.1,TAV2_LOCUS19729,"CORE-2/I-BRANCHING BETA-1,6-N-ACETYLGLUCOSAMINYLTRANSFERASE FAMILY PROTEIN-RELATED",Glycosyltransferase BC10-like,GO:0016757,AT5G57270,"Core-2/I-branching	""beta-1,6-N-acetylglucosaminyltransferase""	family	protein	","835832	"
CAH2077934.1,TAV2_LOCUS23210,"CORE-2/I-BRANCHING BETA-1,6-N-ACETYLGLUCOSAMINYLTRANSFERASE FAMILY PROTEIN-RELATED",Glycosyltransferase BC10-like,GO:0016757,AT4G25870,"Core-2/I-branching	""beta-1,6-N-acetylglucosaminyltransferase""	family	protein	","828693	"
CAH2069657.1,TAV2_LOCUS19734,CLATHRIN ASSEMBLY PROTEIN,Clathrin coat assembly protein AP180-like,GO:0048268|GO:0072583,AT5G57200,"ENTH/ANTH/VHS	superfamily	protein	","835826	"
CAH2077926.1,TAV2_LOCUS24570,CLATHRIN ASSEMBLY PROTEIN,Clathrin coat assembly protein AP180-like,GO:0048268|GO:0072583,AT4G25940,"ENTH/ANTH/VHS	superfamily	protein	","828700	"
CAH2077923.1,TAV2_LOCUS24571,EF hand,EF-hand domain,GO:0005509,AT4G25970,"phosphatidylserine	decarboxylase	3	","828703	"
